method,required_field_count,required_fields,needs_white_box_rng,needs_repeats,needs_event_ontology,count_status
B0_schedule_only,3,declared_seed|context|row_id,False,False,False,CODE_FACT_FROM_EXHAUSTIVE_CONSTANT
B1_outcome_aa,5,declared_seed|context|row_id|terminal_outcome|aa_repeat,False,True,False,CODE_FACT_FROM_EXHAUSTIVE_CONSTANT
B2_trace_aa,6,declared_seed|context|row_id|trace_projection|projection_rule|aa_repeat,False,True,False,CODE_FACT_FROM_EXHAUSTIVE_CONSTANT
B3_within_seed_reps,6,declared_seed|context|row_id|repeat_count|within_seed_variability|analysis_unit,False,True,False,CODE_FACT_FROM_EXHAUSTIVE_CONSTANT
B4_unpaired,4,arm_identity|independent_seed_rule|analysis_unit|unpaired_estimator,False,False,False,CODE_FACT_FROM_EXHAUSTIVE_CONSTANT
B5_cluster_hier,6,cluster_id|analysis_unit|model_family|random_effect|resampling_unit|uncertainty_rule,False,False,False,CODE_FACT_FROM_EXHAUSTIVE_CONSTANT
B6_event_keyed_wb,7,event_ontology|event_id|event_value|stream_key|marginal_check|dependence_assumption|white_box_hook,True,False,True,CODE_FACT_FROM_EXHAUSTIVE_CONSTANT
B7_csvf_full,16,claim_class|artifact_identity|schedule_identity|row_completeness|analysis_unit|design_justification|trace_projection|repeat_rule|context_test|coupling_construction|marginal_check|covariance|variance_ratio|event_ontology|event_value|dependence_assumption,True,True,True,CODE_FACT_FROM_EXHAUSTIVE_CONSTANT
