system,scenario,n_pairs,paired_variance,independent_variance,var_ratio_R,ratio_ci_lo,ratio_ci_hi,corr_paired,marginals_preserved_by_repairing,split_half_ratio_sensitivity
holdem,S0,40,64.57435897,56.01025641,1.1529024,0.61544589,2.15970885,-0.008371,True,1.61885314
holdem,S3,40,0.0,91.46153846,0.0,,,1.0,True,0.0
holdem,S4,40,54.8275641,62.21217949,0.88129952,0.47045801,1.65092065,0.066091,True,0.52961244
holdem,S8,40,49.96858974,41.91730769,1.19207536,0.63635732,2.23309077,0.011539,True,1.42989109
ising,S0,40,2344.58993352,2731.11225071,0.85847439,0.45827343,1.6081628,0.109484,True,0.98900138
ising,S3,40,1527.89740424,1542.06644508,0.99081165,0.52891811,1.85606752,-0.329382,True,1.99607677
ising,S4,40,2344.58993352,2731.11225071,0.85847439,0.45827343,1.6081628,0.109484,True,0.98900138
ising,S8,40,2344.58993352,2731.11225071,0.85847439,0.45827343,1.6081628,0.109484,True,0.98900138
