system,method,branch,valid_n,false_suppression_n,false_suppression_soft_n,false_suppression_hard_n,invalid_n,detected_n,detected_with_caveat_n,missed_failure_n,downgrade_n,downgrade_correct_n,downgrade_missed_n,downgrade_over_suppressed_n,not_applicable_n,detection_est,detection_lo,detection_hi,false_suppression_est,false_suppression_lo,false_suppression_hi,false_suppression_soft_est,false_suppression_soft_lo,false_suppression_soft_hi,false_suppression_hard_est,false_suppression_hard_lo,false_suppression_hard_hi,missed_failure_est,missed_failure_lo,missed_failure_hi,caveat_blindness_est,caveat_blindness_lo,caveat_blindness_hi
pooled,B4_unpaired,BRANCH_B,320,320,320,0,160,0,160,0,374,374,0,0,0,0.0,0.0,0.023446,1.0,0.988138,1.0,1.0,0.988138,1.0,0.0,0.0,0.011862,0.0,0.0,0.023446,0.0,0.0,0.010167
pooled,B4_unpaired,BRANCH_C,534,534,534,0,320,0,320,0,0,0,0,0,0,0.0,0.0,0.011862,1.0,0.992858,1.0,1.0,0.992858,1.0,0.0,0.0,0.007142,0.0,0.0,0.011862,,,
pooled,B4_unpaired,BRANCH_D,454,454,0,454,400,400,0,0,0,0,0,0,0,1.0,0.990488,1.0,1.0,0.99161,1.0,0.0,0.0,0.00839,1.0,0.99161,1.0,0.0,0.0,0.009512,,,
pooled,B4_unpaired,BRANCH_E,80,80,0,80,560,560,0,0,0,0,0,0,214,1.0,0.993187,1.0,1.0,0.954182,1.0,0.0,0.0,0.045818,1.0,0.954182,1.0,0.0,0.0,0.006813,,,
pooled,B5_cluster_hier,BRANCH_A,720,0,0,0,134,0,0,134,0,0,0,0,0,0.0,0.0,0.027869,0.0,0.0,0.005307,0.0,0.0,0.005307,0.0,0.0,0.005307,1.0,0.972131,1.0,,,
pooled,B5_cluster_hier,BRANCH_B,320,0,0,0,160,160,0,0,374,0,374,0,0,1.0,0.976554,1.0,0.0,0.0,0.011862,0.0,0.0,0.011862,0.0,0.0,0.011862,0.0,0.0,0.023446,1.0,0.989833,1.0
pooled,B5_cluster_hier,BRANCH_C,534,0,0,0,320,0,0,320,0,0,0,0,0,0.0,0.0,0.011862,0.0,0.0,0.007142,0.0,0.0,0.007142,0.0,0.0,0.007142,1.0,0.988138,1.0,,,
pooled,B5_cluster_hier,BRANCH_D,454,0,0,0,400,0,0,400,0,0,0,0,0,0.0,0.0,0.009512,0.0,0.0,0.00839,0.0,0.0,0.00839,0.0,0.0,0.00839,1.0,0.990488,1.0,,,
pooled,B5_cluster_hier,BRANCH_E,80,0,0,0,560,0,0,560,0,0,0,0,214,0.0,0.0,0.006813,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.045818,1.0,0.993187,1.0,,,
pooled,B6_event_keyed_wb,BRANCH_A,720,0,0,0,134,0,0,134,0,0,0,0,0,0.0,0.0,0.027869,0.0,0.0,0.005307,0.0,0.0,0.005307,0.0,0.0,0.005307,1.0,0.972131,1.0,,,
pooled,B6_event_keyed_wb,BRANCH_B,320,0,0,0,160,0,0,160,374,0,374,0,0,0.0,0.0,0.023446,0.0,0.0,0.011862,0.0,0.0,0.011862,0.0,0.0,0.011862,1.0,0.976554,1.0,1.0,0.989833,1.0
pooled,B6_event_keyed_wb,BRANCH_C,534,0,0,0,320,0,0,320,0,0,0,0,0,0.0,0.0,0.011862,0.0,0.0,0.007142,0.0,0.0,0.007142,0.0,0.0,0.007142,1.0,0.988138,1.0,,,
pooled,B6_event_keyed_wb,BRANCH_D,454,374,374,0,400,80,320,0,0,0,0,0,0,0.2,0.163737,0.24197,0.823789,0.786067,0.856077,0.823789,0.786067,0.856077,0.0,0.0,0.00839,0.0,0.0,0.009512,,,
pooled,B6_event_keyed_wb,BRANCH_E,80,0,0,0,560,80,480,0,0,0,0,0,214,0.142857,0.116305,0.174276,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.006813,,,
pooled,B7_csvf_full,BRANCH_A,720,0,0,0,134,134,0,0,0,0,0,0,0,1.0,0.972131,1.0,0.0,0.0,0.005307,0.0,0.0,0.005307,0.0,0.0,0.005307,0.0,0.0,0.027869,,,
pooled,B7_csvf_full,BRANCH_B,320,120,120,0,160,160,0,0,374,371,3,0,0,1.0,0.976554,1.0,0.375,0.323734,0.429231,0.375,0.323734,0.429231,0.0,0.0,0.011862,0.0,0.0,0.023446,0.008021,0.002732,0.023315
pooled,B7_csvf_full,BRANCH_C,534,0,0,0,320,156,0,164,0,0,0,0,0,0.4875,0.433208,0.542088,0.0,0.0,0.007142,0.0,0.0,0.007142,0.0,0.0,0.007142,0.5125,0.457912,0.566792,,,
pooled,B7_csvf_full,BRANCH_D,454,187,0,187,400,397,0,3,0,0,0,0,0,0.9925,0.978184,0.997446,0.411894,0.367545,0.457722,0.0,0.0,0.00839,0.411894,0.367545,0.457722,0.0075,0.002554,0.021816,,,
pooled,B7_csvf_full,BRANCH_E,80,0,0,0,560,560,0,0,0,0,0,0,214,1.0,0.993187,1.0,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.006813,,,
