branch,metric,method,reference,method_x,method_n,reference_x,reference_n,risk_difference_method_minus_B7,newcombe_lo,newcombe_hi,p_value,p_holm,test_note
BRANCH_C,M1_detection,B0_schedule_only,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B0_schedule_only,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B1_outcome_aa,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B1_outcome_aa,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B2_trace_aa,B7_csvf_full,80,320,156,320,-0.2375,-0.307795,-0.163543,5e-10,9e-09,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B2_trace_aa,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B3_within_seed_reps,B7_csvf_full,280,320,156,320,0.3875,0.319384,0.450442,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B3_within_seed_reps,B7_csvf_full,454,534,0,534,0.850187,0.816652,0.877951,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B4_unpaired,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B4_unpaired,B7_csvf_full,534,534,0,534,1.0,0.989899,1.0,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B5_cluster_hier,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B5_cluster_hier,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B6_event_keyed_wb,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B6_event_keyed_wb,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M1_detection,B0_schedule_only,B7_csvf_full,0,400,397,400,-0.9925,-0.997446,-0.975312,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M2_false_suppression,B0_schedule_only,B7_csvf_full,0,454,187,454,-0.411894,-0.457722,-0.366758,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M1_detection,B1_outcome_aa,B7_csvf_full,0,400,397,400,-0.9925,-0.997446,-0.975312,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M2_false_suppression,B1_outcome_aa,B7_csvf_full,0,454,187,454,-0.411894,-0.457722,-0.366758,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M1_detection,B2_trace_aa,B7_csvf_full,0,400,397,400,-0.9925,-0.997446,-0.975312,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M2_false_suppression,B2_trace_aa,B7_csvf_full,0,454,187,454,-0.411894,-0.457722,-0.366758,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M1_detection,B3_within_seed_reps,B7_csvf_full,0,400,397,400,-0.9925,-0.997446,-0.975312,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M2_false_suppression,B3_within_seed_reps,B7_csvf_full,0,454,187,454,-0.411894,-0.457722,-0.366758,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M1_detection,B4_unpaired,B7_csvf_full,400,400,397,400,0.0075,-0.003221,0.021816,0.0826863425,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M2_false_suppression,B4_unpaired,B7_csvf_full,454,454,187,454,0.588106,0.541516,0.632455,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M1_detection,B5_cluster_hier,B7_csvf_full,0,400,397,400,-0.9925,-0.997446,-0.975312,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M2_false_suppression,B5_cluster_hier,B7_csvf_full,0,454,187,454,-0.411894,-0.457722,-0.366758,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M1_detection,B6_event_keyed_wb,B7_csvf_full,80,400,397,400,-0.7925,-0.829099,-0.748155,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_D,M2_false_suppression,B6_event_keyed_wb,B7_csvf_full,374,454,187,454,0.411894,0.352538,0.466752,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M1_detection,B0_schedule_only,B7_csvf_full,0,560,560,560,-1.0,-1.0,-0.990365,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M2_false_suppression,B0_schedule_only,B7_csvf_full,0,80,0,80,0.0,-0.045818,0.045818,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M1_detection,B1_outcome_aa,B7_csvf_full,0,560,560,560,-1.0,-1.0,-0.990365,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M2_false_suppression,B1_outcome_aa,B7_csvf_full,0,80,0,80,0.0,-0.045818,0.045818,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M1_detection,B2_trace_aa,B7_csvf_full,0,560,560,560,-1.0,-1.0,-0.990365,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M2_false_suppression,B2_trace_aa,B7_csvf_full,0,80,0,80,0.0,-0.045818,0.045818,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M1_detection,B3_within_seed_reps,B7_csvf_full,0,560,560,560,-1.0,-1.0,-0.990365,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M2_false_suppression,B3_within_seed_reps,B7_csvf_full,0,80,0,80,0.0,-0.045818,0.045818,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M1_detection,B4_unpaired,B7_csvf_full,560,560,560,560,0.0,-0.006813,0.006813,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M2_false_suppression,B4_unpaired,B7_csvf_full,80,80,0,80,1.0,0.935203,1.0,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M1_detection,B5_cluster_hier,B7_csvf_full,0,560,560,560,-1.0,-1.0,-0.990365,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M2_false_suppression,B5_cluster_hier,B7_csvf_full,0,80,0,80,0.0,-0.045818,0.045818,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M1_detection,B6_event_keyed_wb,B7_csvf_full,80,560,560,560,-0.857143,-0.883695,-0.824994,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_E,M2_false_suppression,B6_event_keyed_wb,B7_csvf_full,0,80,0,80,0.0,-0.045818,0.045818,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
