system,scenario,procedure,n,metric,estimate,mcse,B,status
holdem,S3,paired_t,40,typeI,0.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,40,alt_coverage,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,40,null_coverage,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,40,power,0.0495,0.00485,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,40,typeI,0.0475,0.004756,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,40,alt_coverage,0.9505,0.00485,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,40,null_coverage,0.9525,0.004756,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,80,power,0.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,80,typeI,0.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,80,alt_coverage,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,80,null_coverage,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,80,power,0.045,0.004635,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,80,typeI,0.05,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,80,alt_coverage,0.955,0.004635,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,80,null_coverage,0.95,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,10,power,0.083,0.006169,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,10,typeI,0.052,0.004965,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,10,alt_coverage,0.951,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,10,null_coverage,0.948,0.004965,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,10,power,0.0725,0.005798,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,10,typeI,0.0405,0.004408,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,10,alt_coverage,0.9435,0.005163,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,10,null_coverage,0.9595,0.004408,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,20,power,0.112,0.007052,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,20,typeI,0.05,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,20,alt_coverage,0.9495,0.004896,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,20,null_coverage,0.95,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,20,power,0.085,0.006236,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,20,typeI,0.0595,0.00529,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
