system,scenario,procedure,n,metric,estimate,mcse,B,status
ising,S4,paired_t,80,alt_coverage,0.9485,0.004942,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,paired_t,80,null_coverage,0.948,0.004965,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,80,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,80,typeI,0.049,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,80,alt_coverage,0.9465,0.005032,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S4,welch,80,null_coverage,0.951,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,10,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,10,typeI,0.1315,0.007557,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,10,alt_coverage,0.883,0.007187,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,10,null_coverage,0.8685,0.007557,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,10,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,10,typeI,0.1145,0.00712,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,10,alt_coverage,0.891,0.006968,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,10,null_coverage,0.8855,0.00712,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,20,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,20,typeI,0.087,0.006302,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,20,alt_coverage,0.9105,0.006383,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,20,null_coverage,0.913,0.006302,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,20,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,20,typeI,0.0815,0.006118,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,20,alt_coverage,0.9075,0.006479,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,20,null_coverage,0.9185,0.006118,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,40,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,40,typeI,0.072,0.00578,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,40,alt_coverage,0.9335,0.005571,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,40,null_coverage,0.928,0.00578,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,40,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,40,typeI,0.0735,0.005835,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,40,alt_coverage,0.9285,0.005761,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,40,null_coverage,0.9265,0.005835,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,80,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,80,typeI,0.0645,0.005493,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,80,alt_coverage,0.936,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,paired_t,80,null_coverage,0.9355,0.005493,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,80,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,80,typeI,0.0575,0.005205,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,80,alt_coverage,0.945,0.005098,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S8,welch,80,null_coverage,0.9425,0.005205,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
